Country;Region;Owner;Variety;Number of bags;Bag weight;Aroma;Acidity;Sweetness;Total score;Price
Mexico;chapulhuacan, hidalgo;saul m. hernandez ramirez;Typica;10;200;7.5;7.25;10;81.92;3.700675393
Mexico;huazalingo, hidalgo;saul m. hernandez ramirez;Mundo Novo;10;200;7.5;7.5;10;81.92;3.708361992
Mexico;veracruz;juan hermilio sampieri carcamo;Other;30;200;7.33;7.58;10;81.92;4.303342192
Mexico;chiapas;calixto guillen vazquez;Bourbon;450;200;7.58;7.58;10;81.92;4.49441538
Mexico;coscomatepec;jorge octavio escamilla prado;Typica;15;200;7.67;7.5;10;82;3.780867354
Guatemala;san marcos;juan luis alvarado romero;Bourbon;250;200;7.33;7.5;10;82;3.852829116
Thailand;thailand;doi tung development project;Other;1;200;7.58;7.42;10;82;3.866304289
Costa Rica;central valley;eric thormaehlen;Catuai;250;200;7.5;7.33;10;82;4.299939576
Mexico;tapachula;julio perez hernandez;Typica;250;200;7.5;7.5;10;82.08;3.797799026
Mexico;coatepec;rosa aurora falcon fernandez;Typica;15;200;7.67;7.58;10;82.08;3.881012776
Mexico;veracruz;sergio de la vequia bernardi;Typica;250;200;7.58;7.75;10;82.08;3.454875659
Indonesia;aceh gayo;sanjava coffee;Bourbon;2;200;7.5;7.42;10;82.08;4.070684307
Mexico;san bartolo tutotepec;saul m. hernandez ramirez;Typica;10;200;7.5;7.5;10;82.17;4.346284614
Guatemala;oriente;the coffee source inc.;Caturra;250;200;7.25;7.75;9.33;82.17;3.770595668
Mexico;altotonga;salvador caro carrion;Typica;200;200;7.5;7.5;10;82.17;3.849445076
Mexico;colima;organizaciones de productores de cafe colimense;Typica;60;200;7;7.5;10;82.17;4.29170891
Thailand;thailand;doi tung development project;Other;1;200;7.42;7.75;10;82.17;3.680636316
Honduras;marcala;cadexsa;Catuai;275;200;7.67;7.42;10;82.17;3.716677566
Mexico;calnali, hidalgo;saul m. hernandez ramirez;Bourbon;10;200;7.58;7.17;10;82.25;3.685760145
Mexico;veracruz;manuel herrera juarez;Bourbon;10;200;7.5;7.67;10;82.25;3.433458107
Mexico;juquila;guillermo rojas saldana;Typica;40;200;7.67;7.5;10;82.25;4.420057666
El Salvador;nan;adam kline;Other;288;200;7.75;7.5;10;82.25;4.294767174
Mexico;veracruz;sergio de la vequia bernardi;Typica;250;200;7.33;7.67;10;82.25;4.450055489
Mexico;canoas;organizaciones de productores de cafe colimense;Typica;250;200;7.42;7.58;10;82.25;4.310113349
Mexico;veracruz;jesus carlos cardenas valdivia;Mundo Novo;150;200;7.58;7.42;10;82.25;3.48927626
Honduras;marcala;cadexsa;Catuai;275;200;7.58;7.58;10;82.25;3.578083323
Mexico;jaltocan, hidalgo;saul m. hernandez ramirez;Typica;10;200;7.58;7.33;10;82.33;3.789410124
Mexico;veracruz;manuel herrera juarez;Bourbon;10;200;7.67;7.58;10;82.33;3.530495607
Guatemala;oriente;juan luis alvarado romero;Bourbon;250;200;7.5;7.5;10;82.33;4.006787979
Mexico;santa catarina juquila;maria luisa del carmen rojas narvaez;Typica;10;200;8;7.33;10;82.33;3.820360567
Mexico;la concordia, chiapas;alfredo bojalil;Typica;250;200;7.67;7.5;10;82.33;4.122786486
Mexico;xalapa;manuel herrera juarez;Caturra;10;200;7.75;7.58;10;82.42;3.443400318
Mexico;zihuatanejo de azueta;dario cesar galeana sanchez;Typica;74;200;7.5;7.5;10;82.42;4.457117588
